用戶行為,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,,,,,社團權限_公開度_點擊,GroupPermissions_Openness_clicked,from,"新增社團
編輯社團",,,,FALSE,FALSE
,,,,,社團公開度_新增審核題目_點擊,GroupOpenness_AddReviewQuestion_clicked,,,,,,FALSE,FALSE
,,,,,社團公開度_暫時跳過_點擊,GroupOpenness_SkipForNow_clicked,,,,,,FALSE,FALSE
,,,,,社團公開度_管理_點擊,GroupOpenness_Manage_clicked,,,,,,FALSE,FALSE
,,,,,社團公開度.管理_編輯_點擊,GroupOpenness.Manage_Edit_clicked,,,,,,FALSE,FALSE
,,,,,社團公開度.管理_移除_點擊,GroupOpenness.Manage_Remove_clicked,,,,,,FALSE,FALSE
,,,,,社團公開度.管理_返回_點擊,GroupOpenness.Manage_Return_clicked,,,,,,FALSE,FALSE
,,,,,題目_文字區_點擊,Question_TextArea_clicked,,,,,,FALSE,FALSE
,,,,,題目_確定新增_點擊,Question_ConfirmAdd_clicked,,,,,,FALSE,FALSE
,,,,,返回_繼續建立_點擊,Return_ContinueCreation_clicked,,,,,,FALSE,FALSE
,,,,,返回_確定並返回_點擊,Return_ConfirmAndReturn_clicked,,,,,,FALSE,FALSE
觀看社團公開度頁面,,,觀看社團公開度頁面,頁面出現算一次,社團.設定.社團公開度.公開度_觀看,Group.Settings.GroupOpenness.Openness_viewed,,,,觀看社團公開度頁面,,TRUE,FALSE
,,,,,社團.設定.社團公開度.不公開.審核題目.新增審核題目_觀看,Group.Settings.GroupOpenness.NonPublic.ReviewQuestion.AddReviewQuestion_viewed,,,,,,TRUE,FALSE
,,,,,社團.設定.社團公開度.不公開.審核題目.編輯_觀看,Group.Settings.GroupOpenness.NonPublic.ReviewQuestion.Edit_viewed,,,,,,TRUE,FALSE
,,,,,社團.設定.社團公開度.不公開.審核題目.移除_觀看,Group.Settings.GroupOpenness.NonPublic.ReviewQuestion.Remove_viewed,,,,,,TRUE,FALSE
點擊頻道管理按鈕,,頻道管理,新增or編輯->頻道,用戶點擊按鈕算一次,社團設定_頻道管理_點擊,GroupSettings_ChannelManagement_clicked,,,,新增or編輯->頻道,,FALSE,FALSE
,,,,,頻道管理_新增分類_點擊,ChannelManagement_AddCategory_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_編輯分類_點擊,ChannelManagement_EditCategory_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_編輯排序_點擊,ChannelManagement_EditOrder_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_刪除分類_點擊,ChannelManagement_DeleteCategory_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_新增頻道_點擊,ChannelManagement_AddChannel_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_編輯頻道_點擊,ChannelManagement_EditChannel_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_樣式_點擊,ChannelManagement_Style_clicked,from,"新增頻道
編輯頻道",,,,FALSE,FALSE
,,,,,樣式_頻道名稱_點擊,Style_ChannelName_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_權限_點擊,ChannelManagement_Permissions_clicked,,,,,,FALSE,FALSE
,,,,,權限_完全公開_點擊,Permissions_Public_clicked,,,,,,FALSE,FALSE
,,,,,權限_不公開_點擊,Permissions_NonPublic_clicked,,,,,,FALSE,FALSE
,,,,,不公開_任一權限_點擊,NonPublic_AnyPermission_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限_成員_點擊,NonPublic.AnyPermission_Members_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限.成員_新增成員_點擊,NonPublic.AnyPermission.Members_AddMember_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限.成員_移除成員_點擊,NonPublic.AnyPermission.Members_RemoveMember_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限_角色_點擊,NonPublic.AnyPermission_Roles_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限.角色_新增角色_點擊,NonPublic.AnyPermission.Roles_AddRole_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限.角色_移除角色_點擊,NonPublic.AnyPermission.Roles_RemoveRole_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限_方案_點擊,NonPublic.AnyPermission_Plan_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限.方案_新增方案_點擊,NonPublic.AnyPermission.Plan_AddPlan_clicked,,,,,,FALSE,FALSE
,,,,,不公開.任一權限.方案_移除方案_點擊,NonPublic.AnyPermission.Plan_RemovePlan_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_管理員_點擊,ChannelManagement_Admin_clicked,,,,,,FALSE,FALSE
,,,,,管理員_新增角色_點擊,Admin_AddRole_clicked,,,,,,FALSE,FALSE
,,,,,管理員_移除角色_點擊,Admin_RemoveRole_clicked,,,,,,FALSE,FALSE
,,,,,頻道管理_刪除頻道_點擊,ChannelManagement_DeleteChannel_clicked,,,,,,FALSE,FALSE
瀏覽頻道管理頁面,,,觀看頻道管理頁,頁面出現算一次,社團.設定.頻道管理_觀看,Group.Settings.ChannelManagement_viewed,,,,觀看頻道管理頁,,TRUE,TRUE
,,,,,社團.設定.頻道管理.新增分類_觀看,Group.Settings.ChannelManagement.AddCategory_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.頻道管理.編輯分類_觀看,Group.Settings.ChannelManagement.EditCategory_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.頻道管理.刪除分類_觀看,Group.Settings.ChannelManagement.DeleteCategory_viewed,,,,,,FALSE,FALSE
,,,,,社團.設定.頻道管理.新增頻道_觀看,Group.Settings.ChannelManagement.AddChannel_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.頻道管理.編輯頻道_觀看,Group.Settings.ChannelManagement.EditChannel_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.頻道管理.樣式_觀看,Group.Settings.ChannelManagement.Style_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.頻道管理.樣式.頻道名稱_觀看,Group.Settings.ChannelManagement.Style.ChannelName_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.頻道管理.權限_觀看,Group.Settings.ChannelManagement.Permissions_viewed,,,,,,FALSE,FALSE
,,,,,社團.設定.頻道管理.權限.公開度_觀看,Group.Settings.ChannelManagement.Permissions.Openness_viewed,,,,,,TRUE,FALSE
,,,,,社團.設定.頻道管理.權限.不公開.成員_觀看,Group.Settings.ChannelManagement.Permissions.Private.Members_viewed,,,,,,TRUE,FALSE
,,,,,社團.設定.頻道管理.權限.不公開.新增成員_觀看,Group.Settings.ChannelManagement.Permissions.Private.AddMember_viewed,,,,,,TRUE,FALSE
,,,,,社團.設定.頻道管理.權限.不公開.角色_觀看,Group.Settings.ChannelManagement.Permissions.Private.Roles_viewed,,,,,,TRUE,FALSE
